# name	type	tags	description_or_title	npm_deps	payload_file
comp-77	component	label,textarea	label/textarea — variant 77		vendor/origin/r/comp-77.json
comp-78	component	button	button — variant 78		vendor/origin/r/comp-78.json
comp-79	component	button,disabled	button/disabled — variant 79		vendor/origin/r/comp-79.json
comp-80	component	button	button — variant 80		vendor/origin/r/comp-80.json
comp-81	component	button	button — variant 81		vendor/origin/r/comp-81.json
comp-82	component	button,delete	button/delete — variant 82		vendor/origin/r/comp-82.json
comp-83	component	button	button — variant 83		vendor/origin/r/comp-83.json
comp-84	component	button	button — variant 84		vendor/origin/r/comp-84.json
comp-85	component	button,back	button/back — variant 85		vendor/origin/r/comp-85.json
comp-86	component	button,next	button/next — variant 86		vendor/origin/r/comp-86.json
comp-87	component	button	button — variant 87		vendor/origin/r/comp-87.json
comp-88	component	button,dropdown	button/dropdown — variant 88		vendor/origin/r/comp-88.json
comp-89	component	button	button — variant 89		vendor/origin/r/comp-89.json
comp-90	component	button,loading	button/loading — variant 90		vendor/origin/r/comp-90.json
comp-91	component	button,loading	button/loading — variant 91		vendor/origin/r/comp-91.json
comp-92	component	button,counter	button/counter — variant 92		vendor/origin/r/comp-92.json
comp-93	component	button,kbd	button/kbd — variant 93		vendor/origin/r/comp-93.json
comp-94	component	button,user,avatar,profile	button/user/avatar — variant 94		vendor/origin/r/comp-94.json
comp-95	component	button,user,avatar,profile,dropdown	button/user/avatar — variant 95		vendor/origin/r/comp-95.json
comp-96	component	button	button — variant 96		vendor/origin/r/comp-96.json
comp-97	component	button	button — variant 97		vendor/origin/r/comp-97.json
comp-98	component	button,menu	button/menu — variant 98		vendor/origin/r/comp-98.json
comp-99	component	button,tooltip	button/tooltip — variant 99		vendor/origin/r/comp-99.json
comp-100	component	button,menu,hamburger	button/menu/hamburger — variant 100		vendor/origin/r/comp-100.json
comp-101	component	button,toggle	button/toggle — variant 101		vendor/origin/r/comp-101.json
comp-102	component	button,vote,counter	button/vote/counter — variant 102		vendor/origin/r/comp-102.json
comp-103	component	button,vote,counter	button/vote/counter — variant 103		vendor/origin/r/comp-103.json
comp-104	component	button,volume,controls	button/volume/controls — variant 104		vendor/origin/r/comp-104.json
comp-105	component	button,copy	button/copy — variant 105		vendor/origin/r/comp-105.json
comp-106	component	button,toggle group	button/toggle group — variant 106		vendor/origin/r/comp-106.json
comp-107	component	button,toggle group	button/toggle group — variant 107		vendor/origin/r/comp-107.json
comp-108	component	button,toggle group,dropdown	button/toggle group/dropdown — variant 108		vendor/origin/r/comp-108.json
comp-109	component	button,toggle group	button/toggle group — variant 109		vendor/origin/r/comp-109.json
comp-110	component	button,toggle group	button/toggle group — variant 110		vendor/origin/r/comp-110.json
comp-111	component	button	button — variant 111		vendor/origin/r/comp-111.json
