# scale	step	light_hex	dark_hex	semantic_role	gray_pairing	step9_foreground
sand	8	#bcbbb5	#62605b	border	-	white
sand	9	#8d8d86	#6f6d66	solid-accent	-	white
sand	10	#82827c	#7c7b74	solid-accent	-	white
sand	11	#63635e	#b5b3ad	text	-	white
sand	12	#21201c	#eeeeec	text	-	white
sky	1	#f9feff	#0d141f	app-bg	slate	dark
sky	2	#f1fafd	#111a27	app-bg	slate	dark
sky	3	#e1f6fd	#112840	component-state	slate	dark
sky	4	#d1f0fa	#113555	component-state	slate	dark
sky	5	#bee7f5	#154467	component-state	slate	dark
sky	6	#a9daed	#1b537b	border	slate	dark
sky	7	#8dcae3	#1f6692	border	slate	dark
sky	8	#60b3d7	#197cae	border	slate	dark
sky	9	#7ce2fe	#7ce2fe	solid-accent	slate	dark
sky	10	#74daf8	#a8eeff	solid-accent	slate	dark
sky	11	#00749e	#75c7f0	text	slate	dark
sky	12	#1d3e56	#c2f3ff	text	slate	dark
slate	1	#fcfcfd	#111113	app-bg	-	white
slate	2	#f9f9fb	#18191b	app-bg	-	white
slate	3	#f0f0f3	#212225	component-state	-	white
slate	4	#e8e8ec	#272a2d	component-state	-	white
slate	5	#e0e1e6	#2e3135	component-state	-	white
slate	6	#d9d9e0	#363a3f	border	-	white
slate	7	#cdced6	#43484e	border	-	white
slate	8	#b9bbc6	#5a6169	border	-	white
slate	9	#8b8d98	#696e77	solid-accent	-	white
slate	10	#80838d	#777b84	solid-accent	-	white
slate	11	#60646c	#b0b4ba	text	-	white
slate	12	#1c2024	#edeef0	text	-	white
teal	1	#fafefd	#0d1514	app-bg	sage	white
teal	2	#f3fbf9	#111c1b	app-bg	sage	white
teal	3	#e0f8f3	#0d2d2a	component-state	sage	white
teal	4	#ccf3ea	#023b37	component-state	sage	white
teal	5	#b8eae0	#084843	component-state	sage	white
teal	6	#a1ded2	#145750	border	sage	white
teal	7	#83cdc1	#1c6961	border	sage	white
teal	8	#53b9ab	#207e73	border	sage	white
teal	9	#12a594	#12a594	solid-accent	sage	white
teal	10	#0d9b8a	#0eb39e	solid-accent	sage	white
teal	11	#008573	#0bd8b6	text	sage	white
teal	12	#0d3d38	#adf0dd	text	sage	white
tomato	1	#fffcfc	#181111	app-bg	mauve	white
tomato	2	#fff8f7	#1f1513	app-bg	mauve	white
tomato	3	#feebe7	#391714	component-state	mauve	white
tomato	4	#ffdcd3	#4e1511	component-state	mauve	white
tomato	5	#ffcdc2	#5e1c16	component-state	mauve	white
tomato	6	#fdbdaf	#6e2920	border	mauve	white
tomato	7	#f5a898	#853a2d	border	mauve	white
tomato	8	#ec8e7b	#ac4d39	border	mauve	white
tomato	9	#e54d2e	#e54d2e	solid-accent	mauve	white
tomato	10	#dd4425	#ec6142	solid-accent	mauve	white
tomato	11	#d13415	#ff977d	text	mauve	white
tomato	12	#5c271f	#fbd3cb	text	mauve	white
