# rule_id	impact	wcag_tags	description	in_allowlist
landmark-no-duplicate-main	Moderate	cat.semantics,best-practice	Ensure the document has at most one main landmark	no
landmark-one-main	Moderate	cat.semantics,best-practice	Ensure the document has a main landmark	no
landmark-unique	Moderate	cat.semantics,best-practice	Ensure landmarks are unique	no
meta-viewport-large	Minor	cat.sensory-and-visual-cues,best-practice	Ensure <meta name="viewport"> can scale a significant amount	no
page-has-heading-one	Moderate	cat.semantics,best-practice	Ensure that the page, or at least one of its frames contains a level-one heading	no
presentation-role-conflict	Minor	cat.aria,best-practice,ACT	Ensure elements marked as presentational do not have global ARIA or tabindex so that all screen readers ignore them	no
region	Moderate	cat.keyboard,best-practice,RGAAv4,RGAA-9.2.1	Ensure all page content is contained by landmarks	no
scope-attr-valid	Moderate	cat.tables,best-practice	Ensure the scope attribute is used correctly on tables	no
skip-link	Moderate	cat.keyboard,best-practice,RGAAv4,RGAA-12.7.1	Ensure all skip links have a focusable target	no
tabindex	Serious	cat.keyboard,best-practice	Ensure tabindex attribute values are not greater than 0	yes
table-duplicate-name	Minor	cat.tables,best-practice,RGAAv4,RGAA-5.2.1	Ensure the <caption> element does not contain the same text as the summary attribute	no
color-contrast-enhanced	Serious	cat.color,wcag2aaa,wcag146,ACT	Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds	no
identical-links-same-purpose	Minor	cat.semantics,wcag2aaa,wcag249	Ensure that links with the same accessible name serve a similar purpose	no
meta-refresh-no-exceptions	Minor	cat.time-and-media,wcag2aaa,wcag224,wcag325	Ensure <meta http-equiv="refresh"> is not used for delayed refresh	no
css-orientation-lock	Serious	cat.structure,wcag134,wcag21aa,EN-301-549,EN-9.1.3.4,RGAAv4,RGAA-13.9.1,experimental	Ensure content is not locked to any specific display orientation, and the content is operable in all display orientations	no
focus-order-semantics	Minor	cat.keyboard,best-practice,RGAAv4,RGAA-12.8.1,experimental	Ensure elements in the focus order have a role appropriate for interactive content	no
hidden-content	Minor	cat.structure,best-practice,experimental,review-item	Inform users about hidden content.	no
label-content-name-mismatch	Serious	cat.semantics,wcag21a,wcag253,EN-301-549,EN-9.2.5.3,RGAAv4,RGAA-6.1.5,experimental	Ensure that elements labelled through their content must have their visible text as part of their accessible name	no
p-as-heading	Serious	cat.semantics,wcag2a,wcag131,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-9.1.3,experimental	Ensure bold, italic text and font-size is not used to style <p> elements as a heading	no
table-fake-caption	Serious	cat.tables,experimental,wcag2a,wcag131,section508,section508.22.g,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-5.4.1	Ensure that tables with a caption use the <caption> element.	no
td-has-header	Critical	cat.tables,experimental,wcag2a,wcag131,section508,section508.22.g,TTv5,TT14.b,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-5.7.4	Ensure that each non-empty data cell in a <table> larger than 3 by 3 has one or more table headers	no
aria-roledescription	Serious	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,deprecated	Ensure aria-roledescription is only used on elements with an implicit or explicit role	no
audio-caption	Critical	cat.time-and-media,wcag2a,wcag121,EN-301-549,EN-9.1.2.1,section508,section508.22.a,deprecated	Ensure <audio> elements have captions	no
duplicate-id-active	Serious	cat.parsing,wcag2a-obsolete,wcag411,deprecated	Ensure every id attribute value of active elements is unique	no
duplicate-id	Minor	cat.parsing,wcag2a-obsolete,wcag411,deprecated	Ensure every id attribute value is unique	no
landmark-complementary-is-top-level	Moderate	cat.semantics,best-practice,deprecated	Ensure the complementary landmark or aside is at top level	no
